"","iterations","available_data_points","prop_coded_data","n_tax","n_var","worst_tax_abs","worst_tax_abs_coding_density","worst_var_abs","worst_var_abs_coding_density","removed_tax","removed_var","na_distribution_index","taxonomic_index"
"1","0 (full)",74845,0.158720565282302,2456,192,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;inte1259;paki1242;port1277;norw1255;keny1241;urub1243;plai1235;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00520833333333333,"90G Double-headed relative clauses",0.00203583061889251,NA,NA,0.22087214354346,4.10086127534709
"2","1",74753,0.164590741454285,2455,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;inte1259;port1277;norw1255;keny1241;urub1243;plai1235;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00896130346232179,"paki1242","141A Writing Systems;143D Optional Triple Negation;144O Optional Double Negation in SOV languages;144U Double negation in verb-initial languages;144Y The Position of Negative Morphemes in Object-Initial Languages;90F Adjoined relative clauses;90G Double-headed relative clauses",0.225471664831541,4.1008390373537
"3","2",74752,0.164655609154387,2454,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;port1277;norw1255;keny1241;urub1243;plai1235;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00896495517522412,"inte1259",NA,0.225513039933702,4.10080622235474
"4","3",74751,0.164720529742951,2453,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;port1277;norw1255;keny1241;plai1235;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00896860986547085,"urub1243",NA,0.225554421405692,4.10076252743308
"5","4",74750,0.164785503284688,2452,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;port1277;norw1255;keny1241;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00897226753670473,"plai1235",NA,0.225595829271462,4.10070763305103
"6","5",74749,0.16485052984441,2451,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;port1277;norw1255;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00897592819257446,"keny1241",NA,0.225637263558356,4.10064120163286
"7","6",74748,0.164915609487038,2450,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;norw1255;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00897959183673469,"port1277",NA,0.225678724293755,4.10056287598093
"8","7",74747,0.164980742277598,2449,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00898325847284606,"norw1255",NA,0.225720211505082,4.10047227750018
"9","8",74745,0.165043720190779,2448,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00898692810457516,"turk1288",NA,0.225764757242396,4.10036900420111
"10","9",74743,0.16510674957753,2447,185,"tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250",0.00540540540540541,"90E Correlative relative clauses",0.00899060073559461,"japa1238",NA,0.225809337265483,4.10025262844546
